"result id","user id","participant name","source","partner study id","partner id","response date (utc)","test duration","status","device","OS","¿Cuál es tu género?","¿Cuál es tu fecha de nacimiento?","¿Qué producto crees que promociona la imagen del siguiente anuncio?","¿Qué producto crees que promociona la imagen del siguiente anuncio? 1","¿Qué producto crees que promociona la imagen del siguiente anuncio? 2","En tus propias palabras, menciona qué es una AFORE","¿Qué AFORE te da más confianza? 
Escoge máximo 3 ","¿Por qué?","Mira el siguiente anuncio por 5 segundos, despues responde la pregunta.","¿Qué te comunica el anuncio anterior?","¿Qué tanto conectó contigo? (out of 5)","Mira el siguiente anuncio por 5 segundos, despues responde la pregunta. 1","¿Qué te comunica el anuncio anterior? 1","¿Qué tanto conectó contigo? (out of 5) 1","Mira el siguiente anuncio por 5 segundos, despues responde la pregunta. 2","¿Qué te comunica el anuncio anterior? 2","¿Qué tanto conectó contigo? (out of 5) 2","Mira el siguiente anuncio por 10 segundos, despues responde la pregunta.","¿Qué te comunica el anuncio anterior? 3","¿Qué tanto conectó contigo? (out of 5) 3","Mira el siguiente anuncio por 10 segundos, despues responde la pregunta. 1","¿Qué te comunica el anuncio anterior? 4","¿Qué tanto conectó contigo? (out of 5) 4","Mira el siguiente anuncio por 10 segundos, despues responde la pregunta. 2","¿Qué te comunica el anuncio anterior? 5","¿Qué tanto conectó contigo? (out of 5) 5","Mira el siguiente anuncio por 10 segundos, despues responde la pregunta. 3","¿Qué te comunica el anuncio anterior? 6","¿Qué tanto conectó contigo? (out of 5) 6","Mira el siguiente anuncio por 10 segundos, despues responde la pregunta. 4","¿Qué te comunica el anuncio anterior? 7","¿Qué tanto conectó contigo? (out of 5) 7","¿Cuáles son las 3 palabras con las que describirías Afore Azteca?"
"1334216","28","Participant-2Q4JY","","","","2026-06-04 21:46:32","0:08:04","COMPLETED","Mobile","iPhone - iOS (18.7)","Mujer ","1978-08-09","Un bien intangible que ofrece estabilidad y tranquilidad  a futuro ","Seguro de auto ","Celular ","Un ahorro para el retiro ","image5:choice1","Porque me da buen rendimiento ","Yes","Felicidad","5","Yes","Sorpresas en el futuro ","5","Yes","Que compre un seguro para prevenir inconvenientes ","5","Yes","La elección de la afore ","5","Yes","Poder
Comprar lo que se te antoje ","5","Yes","Prevención ","5","Yes","Servicio ","5","Yes","Poder realizar tus sueños ","5","No conozco  sus servicios "
"1334214","27","Participant-E5KC0","","","","2026-06-04 21:43:39","0:10:49","COMPLETED","Mobile","iPhone - iOS (18.7)","Mujer ","1996-10-20","Dentista, porque muestra la dentadura como más visual a primera vista ","Un carro, porque es lo más llamativo por el color.
","Criptomonedas, porque es lo más visual acerca de todo lo que está rodeado la imagen ","Es aquello que nos acumula antigüedad con dinero al momento de retirarnos en cierta edad de un empleo, y es el dinero acumulado dentro de la afore que tengamos, el cual nos servirá para vivir en ciertos años ","image5:choice1","Porque es la que da más rendimiento en acerca de tu cantidad acumulado al momento de terminar en tu cierta edad correspondiente. ","Yes","Que en banco azteca te ofrecen que te cambies a la afore con ellos, según es mejor.","5","Yes","Que te cambies tu afore con ellos, porque el rendimiento empieza desde ahora que trabajas y a los 60 ni tengas que andar pidiendo prestado dinero porque no acumulaste nada ","5","Yes","Igual, que con afore al estar ahorrando poco a poco, te darás cierta cantidad a los 65 años acumulada, la cual servirá para tu vejez.","5","Yes","Que te has una afore, si o si debes estar en una para no tener problemas cuando tengas cierta edad.","4","Yes","Puedes tú aportar dinero poco a poco, lo que sea servirá para así tener un porcentaje acumulado en unos años y servirá para ti.","5","Yes","Has tu ahorro, ganaste $60k pues ahórralos en tu afore y ese dinero va quedando ahí y dándote más oportunidades de tener más y más para tu vejez y retiro.","5","Yes","Que puedes acudir a cualquier lugar de confianza donde necesites cambiarte a una afore ","3","Yes","Al tener tu afore a la cierta edad de 60-65 años que lo retires, puedes con ese dinero hacer un negocio, con el cual te ayude a sobrevivir y tener mejor ganancias siendo tu, tu propio dueño ","5","Muy poco rendimiento "
"1334212","26","Participant-KYDWQ","","","","2026-06-04 21:40:16","0:11:16","COMPLETED","Mobile","iPhone - iOS (18.7)","Hombre ","1976-03-06","Máquina cortadora para hombres ","Afore para el retiro ","Inversiónes ","Ahorro con rendimiento para el retiro de la vida laboral ","image5:choice1|image4:choice2","Mejor rendimiento y ganancia ","Yes","Que en la vejez es importante tener buen ahorro, se nota un hombre mayor que está feliz de poder tener asegurado su futuro ","3","Yes","Que el tiempo se agota y hay que pensar en el futuro ","5","Yes","Que puedes seguir disfrutando de la vida si inviertes y ahorras correctamente ","3","Yes","Buscar la mejor opción desde que inicias en la vida laboral ","1","Yes","Enfocado a jóvenes que empiezan su ahorro y vida laboral ","1","Yes","Que no debe uno tardarse en decidir la mejor opción y empezar a ahorrar ","5","Yes","Que siempre hay una opción en cualquier momento ","5","Yes","Que si haces lo correcto y encuentras la mejor opción puedes seguir siendo productivo ","5","No lo conozco "
"1334207","24","Participant-XN312","","","","2026-06-04 21:36:46","0:10:09","COMPLETED","Mobile","K - Android (10)","Hombre ","1978-08-30","Bienestar","Auto.  T lleva a donde quieras ","Casino.  Ganador, aqui puedes ganar","Es un producto enfocado al ahorro para tu retiro
","image5:choice1","Es la q mas rendimiento te da","Yes","Nada q vaya dirigido a una afore.  Da sensación de alegría intensa y seguridad pero solamente eso (la persona)","2","Yes","Ver hacia el futuro, planear desde ahora","5","Yes","Desenfocado, no es específico cual es el producto ","1","Yes","Tristeza, desagrado.  Una mala decisión ","2","Yes","Actual, crea consciencia ","5","Yes","Tranquilidad, para oerdonas de mas de 40","4","Yes","Nada en particular, carece de sentido","1","Yes","Directo, enfocado pero te deja con mal sabor de boca porq pareciera q ya no hay mas y te lo confirman","2","México te entiende"
"1334202","23","Participant-UKFNJ","","","","2026-06-04 21:32:49","0:13:44","COMPLETED","Mobile","iPhone - iOS (18.7)","Mujer ","1971-08-24","Dientes , por qué están bonitos ","Carro , por qué se ve completo y la marca ","Aplicación de inversión , por qué está el teléfono y las monedas ","Lugar donde administran tu dinero para el retiro ","image3:choice1|image5:choice2|image1:choice3","Son entidades conocidas ","Yes","Alegría de qué invirtió en el mejor
Lugar para su retiro ","5","Yes","Que no debes esperar ","5","Yes","Que si ahorras en ese afore tendrás dinero suficiente como para hacer viajes ","5","Yes","Que tu selección de afore no es la
Definitiva ","3","Yes","Que inicies ahorro aunque sea poco ","3","Yes","Que nunca es tarde para iniciar tu ahorro para tu retiro ","5","Yes","Que tu agite sea en una institución conocida y establecida por mucho tiempo ","5","Yes","Que veas que no termina la vida si no inicia otra estapa ","3","Conocido , popular , "
"1334201","22","Participant-S8MIV","","","","2026-06-04 21:32:22","0:11:44","COMPLETED","Mobile","K - Android (10)","Mujer ","2001-03-31","Alguna pasta dental, ya que se enfoca en la sonrisa y Muestra los dientes 
","Venta de autos, ya que demuestra que donde viajes con quién viajes estás seguro con auto ","Inversión de tu dinero ","Un ahorro para tu retiro
","image5:choice1|image3:choice2|image1:choice3",".","Yes","Sentirte seguro ","3","Yes","Que tenemos que ver por nuestro yo de más grande ","4","Yes","Después de ahorrar para tu retiro podrás salir y disfrutar de lo que tienes ","4","Yes","Duda","2","Yes","Que desde una mínima cantidad puedes empezar con tu ahorro ","3","Yes","Que existe una segunda oportunidad de volver a recordarte que debes de ahorrar para ti retiro ","4","Yes","Que puedes encontrar una variedad de opciones para ahorrar ","3","Yes","Que el ahorro no es tu última opción de que puedes invertirlo en un negocio y sigas produciendo dinero ","5","Nuevo para mí, llamativo, e informativo "
"1334199","21","Participant-2FSRY","","","","2026-06-04 21:31:08","0:21:05","COMPLETED","Mobile","K - Android (10)","Hombre ","1988-03-12","Producto bucal, la foto enfoca la sonrisa ","Automóvil, el auto es llamativo en primera instancia ","Alguna aplicación financiera, por el enfoque en el Smartphone y las monedas cayendo ","Un método de ahorro para cuando uno ya no pueda laborar ","image8:choice1","Veo más publicidad enfocada en Afore, se ve más seguido que las de sus competidores ","Yes","Una persona feliz","2","Yes","Algun tipo de sugerencia ","1","Yes","Que ahorrar es bueno ","3","Yes","Que busque un mejor trabajo ","2","Yes","Me sugiere que empiece a ahorrar lo más pronto posible ","2","Yes","Ahorrar voluntariamente, para mí retiro ","2","Yes","El anunció fomenta más confianza por lo escrito en el","4","Yes","Me transmite una sensación de posibilidad para tener o mantener un negocio ","4","Desconocida, insegura, desconfianza "
"1334198","20","Participant-BV27L","","","","2026-06-04 21:30:07","1:58:46","COMPLETED","Mobile","K - Android (10)","Mujer ","1989-10-07","Tinte para barba ","Un Automóvil en el que es seguro salir de viaje ","Inversiones en app","Es la cuenta de ahorros para la vejez","image1:choice1|image6:choice2|image4:choice3","Banamex es la que tengo y las otras por comentarios de personas ","Yes","Que el mejor afore esta con banco azteca","3","Yes","Que debo pensar en contratar un afore lo antes posible ","3","Yes","Que por 60 al dia me darán 5 mas cuando me retire","3","Yes","Que puedo decidir con quien tener mi afore ","5","Yes","Que debes ahorrar para la vejez","4","Yes","Que debo ahorrar ","5","Yes","Que el afore es importante y debe ser contratado a tiempo ","4","Yes","El afore es una inversión a largo plazo ","5","Seguridad, ahorro, inversión "
"1334186","19","Participant-9D7QR","","","","2026-06-04 21:22:55","0:03:55","COMPLETED","Mobile","iPhone - iOS (26.5.0)","Hombre ","2004-04-06","minoxidil","coche","app neobanco","vejez","image8:choice1|image6:choice2","me gusta el diseño","Yes","felicidades","2","Yes","mas claridad","4","Yes","balanceado pero no me gustó ","2","Yes","mucho texto ","1","Yes","mejor mas claro pero mucho texto ","2","Yes","no se entiende","2","Yes","no esta claro","1","Yes","me gusto mas","4","x, pobreza, mentira"
"1334184","18","Participant-KJRU6","","","","2026-06-04 21:21:37","0:08:48","COMPLETED","Mobile","iPhone - iOS (18.7)","Mujer ","1976-07-30","Una vida feliz","Un auto","Inversiones","Es un ahorro para el retiro","image5:choice1","Tiene mejores rendimientos","Yes","Que esa afore me dará tranquilidad para vivir feliz","5","Yes","Ahorro no me gustó la imagen","2","Yes","Que podré viajar cuando esté retirado","3","Yes","Que en cualquier momento puedes cambiar de afore ","3","Yes","Que desde hoy puedo tener momentos para disdfrutar","5","Yes","Que hoy es el momento de iniciar","5","Yes","No entendí ese anumcio","1","Yes","Después del retiro puedo seguir trabajando","5","La verdad no sabía que azteca tenía aforw"
"1334175","14","Participant-583AI","","","","2026-06-04 21:17:13","","INCOMPLETE","Mobile","iPhone - iOS (18.7)","Hombre ","2006-10-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1334154","12","Participant-H7ZJ4","","","","2026-06-04 20:46:31","0:22:00","COMPLETED","Mobile","iPhone - iOS (16.7.16)","Hombre ","2001-09-21","Un anuncio de un banco, se ve feliz y tranquilo el señor, como si nada le hiciera falta","Seguro para carros, porque se ven felices y llevan maletas","Inversiones en banco, por las monedas y la app","Es el fondo de inversión de las personas que quieren tener una pensión en la vejez o cesantía  ","image6:choice1|image5:choice2|image1:choice3","Mi mamá ha tenido la de Banamex y mi padrastro la de Sura, ambos estaban muy felices con su afore
Y la de Profuturo porque da los mejores intereses a comparación de las demás afores","Yes","Que si llevas tu afore con Banco Azteca vas a tener libertad financiera en su vejez, como si fueran la mejor opción con mejores beneficios","1","Yes","Trata de concientizar que se debe de ahorrar e invertir en la afore desde temprana edad","4","Yes","Que con una inversión temprana y baja puedes asegurar tu futuro en la vejez","3","Yes","Desmiente una creencia que muchos tenemos, que estamos obligados a tener nuestra afore en el trabajo en el estamos","4","Yes","Que con una temprana y baja inversión/ahorro puedo asegurar mi vejez","2","Yes","Te quiere convencer que nunca es tarde para ahorrar en tu afore, es muy obvio que dicho banco quiere atraer clientes","2","Yes","Que el banco que ofrece esa afore tiene un alcance enorme con sus miles de sucursales donde puedes ir a retirar tu pensión","2","Yes","Que la pensión que podemos alcanzar con dicho banco es tam alta como para abrir un negocio","1","Baja en rendimientos
Básica
Forsoza"
"1334144","11","Participant-ZDPJY","","","","2026-06-04 20:35:47","0:14:41","COMPLETED","Mobile","K - Android (10)","Mujer ","1987-08-02","Algún seguro, porque crea la ilusión de estar feliz","El auto","Es un anuncio para un financiamiento ","Es una institución que ""guarda"" tus ahorros para el retiro ","image4:choice1","Tiene mayor estabilidad ","Yes","La venta de un seguro de vida ","3","Yes","Estrés por el tiempo que llevo trabajado sin ahorrar ","2","Yes","Que los ahorros son importantes ","3","Yes","Estrés y cansancio ","2","Yes","Que guardar cualquier cantidad para el retiro es fácil, se puede poquito ","3","Yes","Tranquilidad al ahorrar","4","Yes","La facilidad con la que puedes ahorrar, cuando hay muchas sucursales a tu disposición ","3","Yes","Qué puedes iniciar un negocio en cualquier momento ","3","No lo conozco"
"1334113","10","Participant-6E3NC","","","","2026-06-04 20:16:09","","INCOMPLETE","Mobile","K - Android (10)","Hombre ","1993-01-02","Seguros","Seguro o pensiones","App de algún banco ","Fondo de ahorro para el retiro","image2:choice1","Esta ligada al gobierno","Yes","Poca confianza ","1","Yes","Ansiedad","2","Yes","Tranquilidad ","2","Yes","Malestar","1","Yes","Indiferencia ","1","Yes","Tranquiidad","3","Yes","","","","","",""
"1334015","5","Participant-VC1LQ","","","","2026-06-04 18:33:19","","INCOMPLETE","Desktop","Edge - Windows (10)","No binario","1921-02-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1333960","4","Participant-YPWED","","","","2026-06-04 17:54:24","2:03:21","COMPLETED","Desktop","Opera - Windows (10)","Mujer ","2001-03-09","Dentista, servicios de limpieza por el acercamiento en la cara","La marca de Autos, por el viaje que realizan y la capacidad de recorrer trayectos largos por las maletas","Bitcoins, puntos, gana dinero con una app, por los visuales","Es un ahorro que protege y guarda los ahorres de los trabajadores para la jubilación","image5:choice1|image3:choice2|image6:choice3","Porque han tenido mas presencia conocido y las otras marcas no tanto porque no suelen asociarse como seguro si no que en la mente de las personas tiene otros rubros y no se analiza directamente seguros","Yes","No me comunica mucho por que el fondo de la imagen no ayuda mucho ni los colores y constrastes","3","Yes","que queda poco tiempo o el tiempo se agota para tener un seguro","4","Yes","libertad, disfrutar despues de una edad larga, convivir compartir el tiempo que resta","5","Yes","me gustaria que fuera mejor el fondo, me comunica duda de la persona en cambiarse, entonces agregaria algo mas alegre y corto no es facil de leer en 10 seg","3","Yes","me agrada pero no me comunica bien el seguro y mucho texto para leer en 10 seg no termine de verlo","3","Yes","podria pensar que se trata de vender vinos o catas, igual no termine de leer el anuncio fue innecesario el texto incial","3","Yes","apoyo, cercania, oportunidades, confianza","4","Yes","me agrado fue mejor y especifico","5","Confianza, Facilidad, Cercania"
"1333930","3","Participant-ITO66","","","","2026-06-04 17:44:39","2:55:22","COMPLETED","Mobile","K - Android (10)","Mujer ","1999-03-10","Servicios dentales, porque la foto resaltar la sonrisa. Seguro de cualquier tipo, porque hay un hombre con una sonrisa y semblante de felicidad, seguridad","Viajes: por el paisaje, las maletas, la carretera, 2 personas ya ""pensionadas"". Vehiculo: porque estan recargados en el carro, no haciendo otra actividad que corresponde a vacacionar","Alguna app que te de rendimientos por las monedas y la forma en que muestra el teléfono ","Un ahorro que el gobierno o empleador te pide descontar de tu nomina para que puedas disponer de el en tu edad adulta ya que nuevas generaciones ya no tenemos pensiones por parte de gobierno","image5:choice1|image3:choice2|image2:choice3","Son de las que mejores recomendaciones he escuchado, porque llevan años en el mercado","Yes","Que al ser la mas grande, tiene la posibilidad de hacer mas grande mi inversión ","3","Yes","Que es importante que haga algo a esta edad (joven) y no esperar a que sea anciana","4","Yes","Que con poco dinero ahora, puedo ganar la vida llena de viajes que quiero n mi futuro","5","Yes","Que es fácil.mover mi afore","2","Yes","Que ahorrando ahora con poco, puedo tener mucho cuando llegue tiempo de retirarme ","5","Yes","Que no importa que no lo hice en el pasado, aun asi puedo y debo hacerlo ahora","5","Yes","Tendre apoyo en la vejez con ese afore","3","Yes","Que el afore no solo es para jubilarme, sino tambien lo puedo utilizar para poner un negocio","5","Ahorro, futuro, negocio"
"1333860","1","Participant-Z9RL9","","","","2026-06-04 16:42:08","2:08:59","COMPLETED","Desktop","Edge - Windows (10)","No binario","1904-01-01","PRUEBA","PRUEBA","PRUEBA","PRUEBA","image6:choice1|image5:choice2|image7:choice3","PRUEBA","Yes","PRUEBA","3","Yes","PRUEBA","3","Yes","PRUEBA","3","Yes","PRUEBA","3","Yes","PRUEBA","3","Yes","PRUEBA","3","Yes","PRUEBA","3","Yes","PRUEBA","3","PRUEBA"
